Country Name,Country Code,Population (2021)
Aruba,ABW,106537
Africa Eastern and Southern,AFE,702976832
Afghanistan,AFG,40099462
Africa Western and Central,AFW,478185907
Angola,AGO,34503774
Albania,ALB,2811666
Andorra,AND,79034
Arab World,ARB,456520777
United Arab Emirates,ARE,9365145
Argentina,ARG,45808747
Armenia,ARM,2790974
American Samoa,ASM,45035
Antigua and Barbuda,ATG,93219
Australia,AUS,25688079
Austria,AUT,8955797
Azerbaijan,AZE,10137750
Burundi,BDI,12551213
Belgium,BEL,11592952
Benin,BEN,12996895
Burkina Faso,BFA,22100683
Bangladesh,BGD,169356251
Bulgaria,BGR,6877743
Bahrain,BHR,1463265
"Bahamas, The",BHS,407906
Bosnia and Herzegovina,BIH,3270943
Belarus,BLR,9340314
Belize,BLZ,400031
Bermuda,BMU,63867
Bolivia,BOL,12079472
Brazil,BRA,214326223
Barbados,BRB,281200
Brunei Darussalam,BRN,445373
Bhutan,BTN,777486
Botswana,BWA,2588423
Central African Republic,CAF,5457154
Canada,CAN,38246108
Central Europe and the Baltics,CEB,101430997
Switzerland,CHE,8703405
Channel Islands,CHI,172683
Chile,CHL,19493184
China,CHN,1412360000
Cote d'Ivoire,CIV,27478249
Cameroon,CMR,27198628
"Congo, Dem. Rep.",COD,95894118
"Congo, Rep.",COG,5835806
Colombia,COL,51516562
Comoros,COM,821625
Cabo Verde,CPV,587925
Costa Rica,CRI,5153957
Caribbean small states,CSS,7481877
Cuba,CUB,11256372
Curacao,CUW,152369
Cayman Islands,CYM,68136
Cyprus,CYP,1244188
Czechia,CZE,10505772
Germany,DEU,83196078
Djibouti,DJI,1105557
Dominica,DMA,72412
Denmark,DNK,5856733
Dominican Republic,DOM,11117873
Algeria,DZA,44177969
East Asia & Pacific (excluding high income),EAP,2123673456
Early-demographic dividend,EAR,3411889059
East Asia & Pacific,EAS,2370204347
Europe & Central Asia (excluding high income),ECA,401575218
Europe & Central Asia,ECS,923777214
Ecuador,ECU,17797737
"Egypt, Arab Rep.",EGY,109262178
Euro area,EMU,343067846
Eritrea,ERI,3620312
Spain,ESP,47415750
Estonia,EST,1330932
Ethiopia,ETH,120283026
European Union,EUU,447199800
Fragile and conflict affected situations,FCS,1001462452
Finland,FIN,5541017
Fiji,FJI,924610
France,FRA,67749632
Faroe Islands,FRO,52889
"Micronesia, Fed. Sts.",FSM,113131
Gabon,GAB,2341179
United Kingdom,GBR,67326569
Georgia,GEO,3708610
Ghana,GHA,32833031
Gibraltar,GIB,32669
Guinea,GIN,13531906
"Gambia, The",GMB,2639916
Guinea-Bissau,GNB,2060721
Equatorial Guinea,GNQ,1634466
Greece,GRC,10641221
Grenada,GRD,124610
Greenland,GRL,56653
Guatemala,GTM,17109746
Guam,GUM,170534
Guyana,GUY,804567
High income,HIC,1240629858
"Hong Kong SAR, China",HKG,7413100
Honduras,HND,10278345
Heavily indebted poor countries (HIPC),HPC,861156745
Croatia,HRV,3899000
Haiti,HTI,11447569
Hungary,HUN,9709891
IBRD only,IBD,4895364297
IDA & IBRD total,IBT,6695397735
IDA total,IDA,1800033438
IDA blend,IDB,595016031
Indonesia,IDN,273753191
IDA only,IDX,1205017407
Isle of Man,IMN,84263
India,IND,1407563842
Ireland,IRL,5033165
"Iran, Islamic Rep.",IRN,87923432
Iraq,IRQ,43533592
Iceland,ISL,372520
Israel,ISR,9364000
Italy,ITA,59109668
Jamaica,JAM,2827695
Jordan,JOR,11148278
Japan,JPN,125681593
Kazakhstan,KAZ,19000988
Kenya,KEN,53005614
Kyrgyz Republic,KGZ,6691800
Cambodia,KHM,16589023
Kiribati,KIR,128874
St. Kitts and Nevis,KNA,47606
"Korea, Rep.",KOR,51744876
Kuwait,KWT,4250114
Latin America & Caribbean (excluding high income),LAC,593308001
Lao PDR,LAO,7425057
Lebanon,LBN,5592631
Liberia,LBR,5193416
Libya,LBY,6735277
St. Lucia,LCA,179651
Latin America & Caribbean,LCN,654981699
Least developed countries: UN classification,LDC,1099568566
Low income,LIC,709088502
Liechtenstein,LIE,39039
Sri Lanka,LKA,22156000
Lower middle income,LMC,3398187527
Low & middle income,LMY,6619578961
Lesotho,LSO,2281454
Late-demographic dividend,LTE,2321862159
Lithuania,LTU,2800839
Luxembourg,LUX,640064
Latvia,LVA,1884490
"Macao SAR, China",MAC,686607
St. Martin (French part),MAF,31948
Morocco,MAR,37076584
Monaco,MCO,36686
Moldova,MDA,2615199
Madagascar,MDG,28915653
Maldives,MDV,521457
Middle East & North Africa,MEA,486167363
Mexico,MEX,126705138
Marshall Islands,MHL,42050
Middle income,MIC,5901323889
North Macedonia,MKD,2065092
Mali,MLI,21904983
Malta,MLT,518536
Myanmar,MMR,53798084
Middle East & North Africa (excluding high income),MNA,418047201
Montenegro,MNE,619211
Mongolia,MNG,3347782
Northern Mariana Islands,MNP,49481
Mozambique,MOZ,32077072
Mauritania,MRT,4614974
Mauritius,MUS,1266060
Malawi,MWI,19889742
Malaysia,MYS,33573874
North America,NAC,370203720
Namibia,NAM,2530151
New Caledonia,NCL,271030
Niger,NER,25252722
Nigeria,NGA,213401323
Nicaragua,NIC,6850540
