Property Address,Property Name,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,All-Inclusive,All-Suites,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Average Weighted Rent,Avg Asking/Bed,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Brand,Building Class,Building Operating Expenses,Building Park,Building Tax Expenses,Ceiling Ht,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Constr Status,Construction Begin,Construction Material,Continent,Core Factor,Country,Cross Street,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Exp Year,Features,Fema Flood Zone,Flood Risk Area,For Sale Price/Room,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Fund Name,Gas,Heating,Hotel Class,Hotel Grade,Hotel Location Type,Hotel Open Date,Hotel Operator,Land Area (AC),Land Area (SF),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Max Building Contiguous Space,Max Contig Mtg Space,Max Floor Contiguous Space,Month Built,Month Renovated,Mtg Rooms,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number of Beds,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Studios Units,Office Space,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Operation Type,Operational Status,Ops Expense,Ops Expense Per SF,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parent Company,Parking Ratio,Parking Spaces/Room,Percent Leased,Power,Pre-Leasing,Primary Agent Name,Primary Corridors,Property Location,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Proposed Land Use,Rail Lines,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent/SF/Yr,Restaurant,Rooms,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,Scale,Services,Sewer,Smallest Available Space,Sprinklers,Studio Asking Rent/Bed,Studio Asking Rent/SF,Studio Asking Rent/Unit,Studio Avg SF,Studio Concessions %,Studio Effective Rent/Bed,Studio Effective Rent/SF,Studio Effective Rent/Unit,Studio Vacancy %,Studio Vacant Units,Subcontinent,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Total Available Space (SF),Total Buildings,Total Mtg Space,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Typical Floor Size,University,Water,Zoning
1401 Art Dilly Dr,The Weaver,4,,,Existing,250,Mid-Rise,250000,Apartments,Austin,East Cesar Chavez,Austin,TX,78702,Travis,,N,2020,,4,,,5.6,746.00,"2,303",3.09,"2,288",3.07,0.70,14.00,62.40,21.60,2.00,,Market,,All,1.14,285,0,01/22/2020,48453C0465K,48453C,0465K,No,500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Pool, Property Manager on Site, Waterfront, Video Patrol, Cabana, Disposal Chutes, On-Site Retail, Package Service, Recycling, Trash Pickup - Door to Door, Walking/Biking Trails, Bicycle Storage, Car Charging Station, Conference Rooms, Elevator, Lake Access, Lounge, Maintenance on site, Breakfast Nook, Built-In Bookshelves, Patio, Public Transportation, Green Community",,,,35.00,,,,35.00,,,,,A,2021 Tax @ $4779.99/Unit,The Hatchery,2021 Tax @ $4779.99/Unit,,Plaza Saltillo Station,0.77,16.00,,Existing,Apr 2019,Wood Frame,Americas,,United States,,,1300,,1300,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Pool, Property Manager on Site, Waterfront, Video Patrol, Cabana, Disposal Chutes, On-Site Retail, Package Service, Recycling, Trash Pickup - Door to Door, Walking/Biking Trails, Bicycle Storage, Car Charging Station, Conference Rooms, Elevator, Lake Access, Lounge, Maintenance on site, Breakfast Nook, Built-In Bookshelves, Patio, Public Transportation, Green Community","Area of minimal flood hazard, usually depicted on FIRMs as above the 500-year flood level.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,2.96,129038,12/21/2021,"94,800,000",30.2524165,,,,,,,-97.7319664,1300,,1300,,,,156,54,5,,,,5,,35,,"2,159",3.29,"2,159",657,0.70,"2,144",3.27,"2,144",5.80,9,,,,,2 N Riverside Plz Suite # 400,"Chicago, IL 60606-2600",,Equity Residential,3124741300,02000505040000,02000505040000,,1.14,,,,,,,,1401 Art Dilly Dr,"Austin, TX 78702",,Internacional - The Weaver,8332327008,11383613,Multi-Family,,,,,,Eqr-weaver Lp,,$35.00,No,,,,,,,,,,,Independent,,,1300,,"1,718",3.67,"1,718",468.,0.70,"1,706",3.65,"1,706",5.70,2,North America,0,,0,East Austin,2021,4.78,1194996.77,,"1,336",2.66,"4,008",1505,0.70,"1,327",2.65,"3,981",0.00,0,1300,1,,,1300,0,1300,0,1300,2 N Riverside Plz Suite # 400,"Chicago, IL 60606-2600",,Equity Residential,3124741300,"1,472",2.64,"2,943",1114,0.70,"1,462",2.62,"2,923",5.60,3,62500,,,SF-3-NP
5629 N Lamar Blvd,Revl on Lamar,4,,,Existing,279,Mid-Rise,290000,Apartments,Austin,North Loop,Austin,TX,78751,Travis,,N,2021,,5,,,11.6,835.00,"2,029",2.43,"1,989",2.38,2.00,5.38,68.82,25.81,,,Market,,All,,,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,"Fitness Center, Pool, Grill, Package Service, Pet Play Area, Bicycle Storage, Car Charging Station, Conference Rooms, Pet Washing Station, Island Kitchen",,,Wilder Belshaw Architects,25.00,,,,25.00,,,,,A,2021 Tax @ $2246.29/Unit,,2021 Tax @ $2246.29/Unit,,Highland Station,0.95,,,Existing,Oct 2020,Wood Frame,Americas,,United States,,Trinsic Residential Group,5200,,5200,,,"Fitness Center, Pool, Grill, Package Service, Pet Play Area, Bicycle Storage, Car Charging Station, Conference Rooms, Pet Washing Station, Island Kitchen","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,3.34,145451,12/22/2021,,30.3247639,906 Rio Grande St,"Austin, TX 78701    ",Clinton Sayers,5124726912,Sayers Real Estate Advisors,5124726100,-97.7259136,2656,,2656,9,,,192,72,,,,,0,,15,,"1,861",2.48,"1,861",751,2.00,"1,825",2.43,"1,825",11.50,22,,,,,8 Greenway Plz Suite # 905,"Houston, TX 77046-0890",,Barvin,8323197960,02280705010000,02280705010000,,,,,,,Clinton Sayers,,,5629 N Lamar Blvd,"Austin, TX 78751",,RPM - Revl on Lamar,8335131742,10977585,Multi-Family,,,,,,BG 20 - North Lamar Property Owner LLC,,$25.00,No,,,,,,,,,,,Independent,,,1000,,"1,507",2.67,"1,507",564.,1.90,"1,478",2.62,"1,478",13.30,2,North America,0,,0,Midtown Austin,2021,2.16,626714.93,,,,,,,,,,,,5200,1,,,5200,0,5200,0,5200,8 Greenway Plz Suite # 905,"Houston, TX 77046-0890",,Barvin,8323197960,"1,293",2.31,"2,586",1117,2.00,"1,267",2.27,"2,535",11.10,8,58000,,,CS
6324 N Lamar Blvd,Ellis Highline,4,,,Under Construction,100,Mid-Rise,92960,Apartments,Austin,Brentwood,Austin,TX,78752-4006,Travis,,N,2022,,5,,,,709.00,"1,667",2.35,"1,667",2.35,0.00,,90.00,10.00,,,Market,,All,,,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,,,,,32.00,,,,32.00,,,,,A,2021 Tax @ $1025.49/Unit,,2021 Tax @ $1025.49/Unit,,Crestview Station,0.57,12.00,,Under Construction,May 2021,,Americas,,United States,,Urban Genesis,2371,,0,,,,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,,,,,30.3317954,,,,,,,-97.7229422,2371,,2371,8,,,90,10,,,,,0,,,,"1,617",2.37,"1,617",682,0.00,"1,617",2.37,"1,617",,,,,,,306 Avondale St Suite # 200,"Houston, TX 77006",Matt Shafiezadeh,Urban Genesis,2815018864,02290802040000,02290802040000,,,,,,,,,,6324 N Lamar Blvd,"Austin, TX 78752-4006",,Magnolia - Ellis Highline,5126014300,10977837,Multi-Family,,,306 Avondale St Suite # 200,"Houston, TX 77006",,UG Crestview LLC,,$32.00,No,,,,,,,,,,,Independent,,,2371,,,,,,,,,,,,North America,0,,0,Midtown Austin,2021,1.1,102548.74,,,,,,,,,,,,2371,1,,,2371,0,0,0,0,306 Avondale St Suite # 200,"Houston, TX 77006",Matt Shafiezadeh,Urban Genesis,2815018864,"1,060",2.20,"2,119",962,0.00,"1,060",2.20,"2,119",,,18000,,,
2823 E Martin Luther King Jr Blvd,Platform,4,,,Existing,557,Mid-Rise,367959,Apartments,Austin,Chestnut,Austin,TX,78702-1542,Travis,,N,2016,,4,,,6.5,862.00,"2,043",2.37,"2,028",2.35,0.70,9.52,63.20,27.29,,,Market/Affordable,Affordable Units,All,0.03,10,0,01/22/2020,48453C0465K,48453C,0465K,No,100-year and 500-year Floodplain,No,No,"Clubhouse, Fitness Center, Gameroom, Grill, Package Service, Pet Play Area, Wi-Fi, Lounge, Island Kitchen",,,Meeks & Partners,30.00,,,30.00,30.00,,,,,A,2021 Tax @ $3677.40/Unit,,2021 Tax @ $3677.40/Unit,,"Martin Luther King, Jr. Station",0.22,5.00,,Existing,Feb 2015,Wood Frame,Americas,,United States,,Greystar Real Estate Partners,1801,,1109,,,"Clubhouse, Fitness Center, Gameroom, Grill, Package Service, Pet Play Area, Wi-Fi, Lounge, Island Kitchen","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,7.12,310147,5/31/2016,,30.28092,,,,,,,-97.7109689,1109,,1109,,,,352,152,,,,,3,,53,,"1,839",2.44,"1,839",753,0.70,"1,825",2.43,"1,825",6.50,23,,,,,465 Meeting St Suite # 500,"Charleston, SC 29403-4832",Robert Faith,Greystar Real Estate Partners,8435799400,02121214010000,02121214010000,,0.02,,,,,,,,2823 E Martin Luther King Jr Blvd,"Austin, TX 78702-1542",,Greystar - Platform,5125236060,9968102,Multi-Family,,,1000 San Marcos St,"Austin, TX 78702-2605",,1800 Alexander Lp,,$30.00,No,,,,,,,,,,,Independent,,,692,,"1,643",3.00,"1,643",547.,0.70,"1,632",2.98,"1,632",5.70,3,North America,0,,0,East Austin,2021,5.57,2048309.13,,,,,,,,,,,,1801,5,,,1801,0,0,0,0,465 Meeting St Suite # 500,"Charleston, SC 29403-4832",Robert Faith,Greystar Real Estate Partners,8435799400,"1,328",2.16,"2,655",1228,0.70,"1,318",2.15,"2,635",6.60,10,91990,University of Texas at Austin,,C1
710 E 3rd St,3Waller,4,,,Existing,259,Mid-Rise,126000,Apartments,Austin,Sixth Street District,Austin,TX,78701,Travis,,N,2022,,4,,,40.2,464.00,"1,991",4.28,"1,838",3.95,7.70,59.07,28.57,12.36,,,Market,,All,,,0,01/22/2020,48453C0465K,48453C,0465K,Yes,100-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Grill, Bicycle Storage",,,Wilder Belshaw Architects,-,,,,,,,,,A,2021 Tax @ $2946.82/Unit,,2021 Tax @ $2946.82/Unit,,Downtown Station,0.28,6.00,,Existing,Jan 2020,,Americas,,United States,,Transwestern Real Estate Services,2615,,2615,,,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Grill, Bicycle Storage",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,,,,,30.2633691,,,,,,,-97.7363827,2615,,2615,2,,,74,32,,,,,2,,153,,"2,104",4.35,"2,104",484,7.70,"1,943",4.02,"1,943",40.50,30,,,,,901 S Mopac Expy,"Austin, TX 78746-5776",Brandon Lester,Transwestern Real Estate Services,5123285600,02040418100000,02040418100000,,,,,,,,,,710 E 3rd St,"Austin, TX 78701",,Lincoln - 3Waller,5122200888,10693601,Multi-Family,,,901 S Mo Pac Expy Suite # 250 Building IV,"Austin, TX 78746-5776",,TDC Block 36 LP,,Not Disclosed,No,,,,,,,,,,,Independent,,,2615,,"1,774",4.58,"1,774",388.,7.70,"1,638",4.22,"1,638",39.90,61,North America,0,,0,Downtown Austin,2021,6.06,763225.97,,,,,,,,,,,,2615,1,,,2615,0,2615,0,2615,901 S Mopac Expy,"Austin, TX 78746-5776",Brandon Lester,Transwestern Real Estate Services,5123285600,"1,384",3.50,"2,767",791,7.70,"1,278",3.23,"2,555",40.60,13,31500,University of Texas at Austin,,
5453 Burnet Rd,Burnet Flats,4,,,Existing,179,Mid-Rise,147803,Apartments,Austin,Brentwood,Austin,TX,78756,Travis,,N,2014,,4,,,4.8,809.00,"1,950",2.41,"1,938",2.39,0.60,,82.68,17.32,,,Market,,All,1.01,180,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Fitness Center, Picnic Area, Disposal Chutes, Grill, Recycling, Wi-Fi, Roof Terrace, Bicycle Storage, Sundeck, Island Kitchen, Wheelchair Accessible (Rooms)",,,LRK Architects,-,,,,,,,,,B,2021 Tax @ $4391.13/Unit,,2021 Tax @ $4391.13/Unit,,Highland Station,2.32,,,Existing,Nov 2012,Wood Frame,Americas,,United States,,Ardent Residential,1242,,1242,None,,"Air Conditioning, Business Center, Fitness Center, Picnic Area, Disposal Chutes, Grill, Recycling, Wi-Fi, Roof Terrace, Bicycle Storage, Sundeck, Island Kitchen, Wheelchair Accessible (Rooms)","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,2.31,100624,5/11/2015,"36,750,000",30.3301392,901 S MoPac Expy Suite # 500,"Austin, TX 78746",Adelaide Ehrlich,5122364601,SRS Real Estate Partners,5122364600,-97.7395212,1242,,1242,,,,148,31,,,,,3,,,,"1,863",2.51,"1,863",742,0.60,"1,852",2.50,"1,852",4.70,7,,,,,1270 Soldiers Field Rd,"Boston, MA 02135-1003",Alissa Crafa,Intercontinental Real Estate Corporation,6177822600,02290303360000,02290303360000,,0.80,,,,,Adelaide Ehrlich,,,5453 Burnet Rd,"Austin, TX 78756-1627",,Greystar - Burnet Flats,5122800332,9062095,Multi-Family,,,1270 Soldiers Field Rd,"Boston, MA 02135    ",,"US Real Estate Investment Fund, LLC",6177822600,Not Disclosed,No,,,,,,,,,,,Independent,,,1242,,,,,,,,,,,,North America,0,,0,Midtown Austin,2021,5.32,786012.75,,,,,,,,,,,,1242,1,,,1242,0,1242,0,1242,1270 Soldiers Field Rd,"Boston, MA 02135-1003",Alissa Crafa,Intercontinental Real Estate Corporation,6177822600,"1,181",2.09,"2,363",1132,0.60,"1,174",2.07,"2,348",3.20,1,55875,,,CS-MU-V-CO-NP
110 Jacob Fontaine Ln,FIVEtwo Highland,4,,,Existing,390,Mid-Rise,346319,Apartments,Austin,Highland,Austin,TX,78752-3401,Travis,,N,2019,,4,,,5.1,892.00,"2,088",2.34,"2,086",2.34,0.10,14.87,39.49,44.87,0.77,,Market/Affordable,Rent Restricted,All,,,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,"Clubhouse, Courtyard, Fitness Center, Pool, Gameroom, Media Center/Movie Theatre, On-Site Retail, Pet Play Area, Bicycle Storage, Conference Rooms, Lounge",,,Meeks & Partners,-,,,,,,,,,A,2021 Tax @ $5456.21/Unit,,2021 Tax @ $5456.21/Unit,,Highland Station,0.19,,,Existing,Dec 2017,,Americas,,United States,,"Redleaf Properties, LLC",7764,,7764,,,"Clubhouse, Courtyard, Fitness Center, Pool, Gameroom, Media Center/Movie Theatre, On-Site Retail, Pet Play Area, Bicycle Storage, Conference Rooms, Lounge","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,6.53,284273,11/18/2021,,30.3264063,901 S MoPac Expy Suite # 500,"Austin, TX 78746",,5122364601,,,-97.7153057,4143,,4143,7,,,154,175,3,,,,0,,58,,"1,953",2.59,"1,953",754,0.00,"1,953",2.59,"1,953",5.20,8,,,,,345 Park Ave,"New York, NY 10154-0004",,Blackstone Inc.,2125835000,02271101110000,02271101110000,,,,,,,,,,110 Jacob Fontaine Ln,"Austin, TX 78752-3401",,Greystar - Fivetwo at Highlands,5122208359,10346179,Multi-Family,,,345 Park Ave,"New York, NY 10154-0004",,110 Jacob Fontaine Lane Tx O,,Not Disclosed,No,,,,,,,,,,,Independent,,,3621,,"1,409",2.72,"1,409",518.,0.60,"1,401",2.70,"1,401",5.20,3,North America,0,,0,Midtown Austin,2021,6.14,2127921.39,,"1,043",1.75,"3,128",1785,0.60,"1,036",1.74,"3,108",0.00,0,7764,2,,,7764,0,7764,0,7764,345 Park Ave,"New York, NY 10154-0004",,Blackstone Inc.,2125835000,"1,207",2.15,"2,413",1123,0.00,"1,207",2.15,"2,413",5.10,9,68750,,,CS-MU-V-NP
303 W 5th St,Hanover Republic Square,5,,,Under Construction,310,Hi-Rise,444625,Apartments,Austin,Warehouse District,Austin,TX,78701-2911,Travis,,N,2022,,45,,,,"1,152.00","4,463",3.87,"4,463",3.87,0.00,21.94,45.48,28.71,3.87,,Market,,All,,322,0,01/22/2020,48453C0465K,48453C,0465K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Concierge, Fitness Center, Pool, Cabana, Grill, Media Center/Movie Theatre, Roof Terrace, Bicycle Storage, Car Charging Station, Elevator, Lounge, Pet Washing Station, Freezer, Vinyl Flooring",,,Solomon Cordwell Buenz & Associates,16.00,,,,16.00,,,,,A,2021 Tax @ $80.75/Unit,,2021 Tax @ $80.75/Unit,,Downtown Station,0.47,10.00,,Under Construction,Aug 2020,,Americas,,United States,,Hanover Company,3675,,0,,,"Air Conditioning, Concierge, Fitness Center, Pool, Cabana, Grill, Media Center/Movie Theatre, Roof Terrace, Bicycle Storage, Car Charging Station, Elevator, Lounge, Pet Washing Station, Freezer, Vinyl Flooring","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,,,,,30.2676581,,,,,,,-97.7459077,3675,,3675,8,,,141,89,12,,,,3,,68,,"3,340",3.80,"3,340",879,0.00,"3,340",3.80,"3,340",,,,,,,1780 S Post Oak Ln,"Houston, TX 77056-3748",,Hanover Company,7132672100,02080112050000,02080112050000,,0.72,,,,,,,,303 W 5th St,"Austin, TX 78701-2911",,Hanover - Hanover Republic Square,7374028017,11279202,Multi-Family,,,,,,,,$16.00,No,,,,,,,,,,,Independent,,,3675,,"2,487",3.94,"2,487",631.,0.00,"2,487",3.94,"2,487",,,North America,0,,0,Downtown Austin,2021,0.06,25031.37,,"5,130",5.26,"15,391",2927,0.00,"5,130",5.26,"15,391",,,3675,1,,,3675,0,0,0,0,1780 S Post Oak Ln,"Houston, TX 77056-3748",,Hanover Company,7132672100,"3,139",3.60,"6,279",1745,0.00,"3,139",3.60,"6,279",,,20000,University of Texas at Austin,,
6701 Burnet Rd,Marq on Burnet,4,,,Existing,308,Mid-Rise,275741,Apartments,Austin,Brentwood,Austin,TX,78757-2843,Travis,,N,2016,,5,,,5.1,728.00,"1,734",2.36,"1,723",2.34,0.60,24.35,63.64,12.01,,,Market/Affordable,Rent Restricted,All,0.73,250,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Media Center/Movie Theatre, On-Site Retail, Elevator, Wheelchair Accessible (Rooms)",,,GFF Architects,24.00,,,,24.00,,,,,A,2021 Tax @ $4975.29/Unit,,2021 Tax @ $4975.29/Unit,,Crestview Station,1.77,,,Existing,Sep 2014,Wood Frame,Americas,,United States,,Argyle Residential,2408,,2408,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Media Center/Movie Theatre, On-Site Retail, Elevator, Wheelchair Accessible (Rooms)","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,3.90,169884,12/7/2016,"73,100,000",30.3420177,,,,,,,-97.7378405,2408,,2408,,,,196,37,,,,,2,,75,,"1,781",2.36,"1,781",745,0.60,"1,770",2.34,"1,770",5.10,10,,,,,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",Mary Ellen Barlow,CWS Capital Partners LLC,9496404200,02340304120000,02340304120000,,0.86,,,,,,,,6701 Burnet Rd,"Austin, TX 78757-2843",,CWS Apartments - Marq on Burnet,5122675223,9447675,Multi-Family,,,14 Corporate Pl Suite # 210,"Newport Beach, CA 92660",,"CWS Marq Burnet, LP",,$24.00,No,,,,,,,,,,,Independent,,,2408,,"1,376",2.53,"1,376",525.,0.60,"1,368",2.52,"1,368",5.30,4,North America,0,,0,Midtown Austin,2021,5.56,1532390.85,,,,,,,,,,,,2408,1,,,2408,0,2408,0,2408,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",Mary Ellen Barlow,CWS Capital Partners LLC,9496404200,"1,104",2.13,"2,207",1109,0.60,"1,097",2.12,"2,193",5.40,2,55148,,,CS-1-MU-V-CO-NP
2832 E Martin Luther King Jr Blvd,MLK Highline,4,,,Existing,201,Mid-Rise,201000,Apartments,Austin,Blackland,Austin,TX,78702-1500,Travis,,N,2022,,5,,,84.6,764.00,"1,830",2.39,"1,759",2.30,3.80,29.85,63.18,6.97,,,Market,,All,,,0,01/22/2020,48453C0465K,48453C,0465K,No,100-year and 500-year Floodplain,No,No,"24 Hour Access, Air Conditioning",,,,32.00,,,,32.00,,,,,A,2021 Tax @ $880.28/Unit,,2021 Tax @ $880.28/Unit,,"Martin Luther King, Jr. Station",0.26,6.00,,Existing,Jun 2020,,Americas,,United States,,Urban Genesis,6419,,6419,,,"24 Hour Access, Air Conditioning","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,,,,,30.2822553,,,,,,,-97.7102904,1677,,1677,6,,,127,14,,,,,0,,60,,"2,050",2.50,"2,050",819,3.80,"1,971",2.41,"1,971",84.30,107,,,,,306 Avondale St Suite # 200,"Houston, TX 77006",Matt Shafiezadeh,Urban Genesis,2815018864,02121210040000,02121210040000,,0.00,,,,,,,,2832 E Mattin Luther King Jr Blvd,"Austin, TX 78702",,Magnolia - MLK Highline,5125467400,11490215,Multi-Family,,,306 Avondale St,"Houston, TX 77006",,Ug Mlk Llc,,$32.00,No,,,,,,,,,,,Independent,,,1545,,"1,159",2.03,"1,159",572.,3.80,"1,115",1.95,"1,115",85.00,51,North America,0,,0,East Austin,2021,0.88,176936.41,,,,,,,,,,,,6419,1,,,6419,0,0,0,0,306 Avondale St Suite # 200,"Houston, TX 77006",Matt Shafiezadeh,Urban Genesis,2815018864,"1,352",2.48,"2,703",1092,3.80,"1,300",2.38,"2,599",85.70,12,40200,University of Texas at Austin,,TOD-NP
