Property Address,Property Name,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Height (Heighest BLD),FAR,Impervious Coverage (AC),Impervious %,Building Coverage,Building Coverage %,Open Space %,Avg Unit SF,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Number Of Parking Spaces,Closest Transit Stop Dist (mi),Constr Status,Land Area (AC),Land Area (SF),Latitude,Longitude,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Parcel Number 2(Max),Parking Ratio,Submarket Cluster,Total Buildings,Typical Floor Size,Zoning
13100 Avery Ranch Blvd,Aura Avery Ranch,Existing,339.00,Low-Rise,410966.00,Apartments,Austin,Avery Ranch,Austin,TX,78717,Williamson,2022.00,3.00,53.67,0.60,8.65,0.54,125099.00,0.18,0.16,991.10,0.10,0.53,0.33,0.05,0.00,566.00,2.09,Existing,16.10,701490.00,3.05E+01,-9.78E+01,178.00,112.00,16.00,0.00,33.00,R598865,1.67,Cedar Park,11.00,12453.52,MF-4
15222 FM 620 N,The Avery,Existing,174.00,Mid-Rise,124502.00,Apartments,Austin,Brushy Creek,Austin,TX,78717,Williamson,2022.00,4.00,40.00,0.48,5.93,0.55,53897.00,0.12,0.05,653.68,0.00,0.34,0.24,0.00,0.00,179.00,3.35,Existing,10.72,467093.00,3.05E+01,-9.77E+01,60.00,42.00,0.00,0.00,0.00,R311034,1.03,Round Rock,4.00,7781.38,MF-3
14115 N Highway 183,Brightleaf at Lakeline,Existing,304.00,Mid-Rise,356103.00,Apartments,Austin,Avery Ranch,Austin,TX,78717-6183,Williamson,2022.00,4.00,59.25,0.66,6.67,0.55,97270.00,0.18,0.05,882.86,0.00,0.71,0.29,0.00,0.00,501.00,1.07,Existing,12.23,532651.68,3.05E+01,-9.78E+01,217.00,87.00,0.00,0.00,0.00,R434446,1.65,Cedar Park,8.00,11128.22,GR-MU
9019 N Lake Creek Pky,Avery Oaks,Existing,294.00,Garden,241374.00,Apartments,Austin,Avery Ranch,Austin,TX,78717-6156,Williamson,2022.00,3.00,38.67,0.61,7.75,0.61,129899.00,0.23,0.65,821.00,0.00,0.65,0.29,0.06,0.00,522.00,2.04,Existing,12.69,552916.00,3.05E+01,-9.78E+01,192.00,84.00,18.00,0.00,0.00,R056472,1.78,Cedar Park,10.00,8045.80,MF4
13550 Lyndhurst St,The Asher,Under Construction,377.00,Mid-Rise,479993.00,Apartments,Austin,Avery Ranch,Austin,TX,78717,Williamson,2022.00,4.00,68.00,0.46,7.11,0.83,156379.00,0.42,0.00,963.38,0.00,0.63,0.34,0.04,0.00,586.00,0.45,Under Construction,8.56,372874.00,3.05E+01,-9.78E+01,236.00,127.00,14.00,0.00,0.00,R590490,1.55,Cedar Park,1.00,119998.25,PUD
6306 McNeil Dr,Arbor Park,Under Construction,147.00,Low-Rise,142482.00,Apartments,Austin,Milwood,Austin,TX,78729,Travis,2023.00,2.00,47.00,0.73,2.57,0.58,40483.00,0.21,0.00,789.63,0.00,0.75,0.25,0.00,0.00,147.00,3.48,Under Construction,4.46,194147.00,3.04E+01,-9.78E+01,110.00,37.00,0.00,0.00,0.00,01700113040000,1.00,Northwest Austin,2.00,35620.50,MF-3
12638 Ridgeline Blvd,Caliza Apartments,Existing,270.00,Mid-Rise,375964.00,Apartments,Austin,Cedar Park,Austin,TX,78613,Williamson,2020.00,4.00,55.60,0.74,7.13,0.59,150701.00,0.28,0.00,901.48,0.00,0.58,0.33,0.09,0.00,475.00,2.26,Existing,12.19,530952.84,3.05E+01,-9.78E+01,157.00,89.00,24.00,0.00,0.00,,1.76,Cedar Park,8.00,11748.88,GR-MU-CO
13649 Rutledge Spur,The Loretta,Under Construction,137.00,Mid-Rise,142152.00,Apartments,Austin,Avery Ranch,Austin,TX,78717,Williamson,2023.00,4.00,40.00,0.67,3.47,0.55,46521.00,0.17,0.90,1008.58,0.00,0.31,0.47,0.23,0.00,226.00,0.46,Under Construction,6.31,274903.00,3.05E+01,-9.78E+01,42.00,64.00,31.00,0.00,0.00,R601416,1.65,Cedar Park,4.00,8884.50,CS-MU-CO
9701 Spectrum Dr,Rhythm,Existing,262.00,Mid-Rise,326264.00,Apartments,Austin,Avery Ranch,Austin,TX,78717,Williamson,2020.00,4.00,51.54,0.68,6.60,0.60,94981.00,0.20,0.64,669.50,0.00,0.68,0.32,0.00,0.00,436.00,2.32,Existing,11.00,479160.00,3.05E+01,-9.78E+01,177.00,85.00,0.00,0.00,0.00,R569022,1.66,Cedar Park,6.00,13594.33,CS-MU
11214 N FM 620,Woodland Greens,Under Construction,198.00,Low-Rise,150142.00,Apartments,Austin,Grandview Hills,Austin,TX,78726,Travis,2022.00,3.00,33.00,1.02,4.12,0.28,75071.60,0.12,0.00,758.29,0.00,0.53,0.34,0.13,0.00,263.00,3.84,Under Construction,14.70,640547.00,3.05E+01,-9.78E+01,104.00,68.00,26.00,0.00,0.00,01742501030000,1.33,Northwest Austin,1.00,50047.33,ETJ
