file_path,actual_license_plate,valid
Data/images/train/Cars0.png,KL01CA2555,1
Data/images/train/Cars1.png,PGMN112,1
Data/images/train/Cars10.png,"TN37C5,2765",2
Data/images/train/Cars100.png,WW95550,1
Data/images/train/Cars101.png,HR26BC5514,1
Data/images/train/Cars102.png,6861136,1
Data/images/train/Cars103.png,,0
Data/images/train/Cars104.png,NL60LXB,1
Data/images/train/Cars105.png,"SBV1966S, JPK6546, SBA1234A, FBF1234A",2
Data/images/train/Cars106.png,,0
Data/images/train/Cars107.png,MH20BQ20,1
Data/images/train/Cars108.png,MH01AV8866,1
Data/images/train/Cars109.png,CZ17KOD,1
Data/images/train/Cars11.png,WOR516K,1
Data/images/train/Cars110.png,FI,1
Data/images/train/Cars111.png,MH20EE7598,1
Data/images/train/Cars112.png,SHAKNBK,1
Data/images/train/Cars113.png,MPEACHW,1
Data/images/train/Cars114.png,"AP,29,BP,585",0
Data/images/train/Cars115.png,M666YOB,1
Data/images/train/Cars116.png,MK3532,1
Data/images/train/Cars117.png,MK3532,1
Data/images/train/Cars118.png,,0
Data/images/train/Cars119.png,,0
Data/images/train/Cars12.png,MH12BG7237,1
Data/images/train/Cars120.png,B2228HM,1
Data/images/train/Cars121.png,,0
Data/images/train/Cars122.png,MANISA,1
Data/images/train/Cars123.png,HR26BC5514,1
Data/images/train/Cars124.png,,0
Data/images/train/Cars125.png,"RP,66887",2
Data/images/train/Cars126.png,KA05MG1909,1
Data/images/train/Cars127.png,SO,1
Data/images/train/Cars128.png,OX65AWD,1
Data/images/train/Cars129.png,OPECLOL,1
Data/images/train/Cars13.png,BJR216,1
Data/images/train/Cars130.png,HR26BR9044,1
Data/images/train/Cars131.png,"AP,29,BP,585",0
Data/images/train/Cars132.png,,0
Data/images/train/Cars133.png,1268,1
Data/images/train/Cars134.png,L19TLC,1
Data/images/train/Cars135.png,"M17108,FV1232",2
Data/images/train/Cars136.png,U15474,1
Data/images/train/Cars137.png,,0
Data/images/train/Cars138.png,9,2
Data/images/train/Cars139.png,,0
Data/images/train/Cars14.png,ALR486,1
Data/images/train/Cars140.png,CH01AN0001,1
Data/images/train/Cars141.png,,0
Data/images/train/Cars142.png,FI,1
Data/images/train/Cars143.png,"FU3348,NZ1017",2
Data/images/train/Cars144.png,PEN15,1
Data/images/train/Cars145.png,CH01AN0001,1
Data/images/train/Cars146.png,,0
Data/images/train/Cars147.png,KL01CA2555,1
Data/images/train/Cars148.png,MH01BB550,1
Data/images/train/Cars149.png,7VIG263,1
Data/images/train/Cars15.png,TN21BY0166,1
Data/images/train/Cars150.png,DL8CX4850,1
Data/images/train/Cars151.png,DL3CBD5092,1
Data/images/train/Cars152.png,DL49AK49,1
Data/images/train/Cars153.png,MH20BQ20,1
Data/images/train/Cars154.png,"KA09, MA, 2662",0
Data/images/train/Cars155.png,MCB025,1
Data/images/train/Cars156.png,PRIVATE,1
Data/images/train/Cars157.png,PTB557K,1
Data/images/train/Cars158.png,695299,1
Data/images/train/Cars159.png,DL7CN5617,1
Data/images/train/Cars16.png,,0
Data/images/train/Cars160.png,007PLATECOM,1
Data/images/train/Cars161.png,M666YOB,1
Data/images/train/Cars162.png,,0
Data/images/train/Cars163.png,LR33TEE,1
Data/images/train/Cars164.png,GT,1
Data/images/train/Cars165.png,TN21AU1153,1
Data/images/train/Cars166.png,IMACAR,1
Data/images/train/Cars167.png,15LK10898,1
Data/images/train/Cars168.png,2222,0
Data/images/train/Cars169.png,PRIVATE,1
Data/images/train/Cars17.png,YSX213,1
Data/images/train/Cars170.png,983,1
Data/images/train/Cars171.png,BJR216,1
Data/images/train/Cars172.png,C09,1
Data/images/train/Cars173.png,WMY9051,1
Data/images/train/Cars174.png,,0
Data/images/train/Cars175.png,DL1N4268,1
Data/images/train/Cars176.png,EVO9FTW,1
Data/images/train/Cars177.png,GOOD,1
Data/images/train/Cars178.png,52292Z,1
Data/images/train/Cars179.png,4SZW590,1
Data/images/train/Cars18.png,M666YOB,1
Data/images/train/Cars180.png,MPEACHW,1
Data/images/train/Cars181.png,JHIIHAD,1
Data/images/train/Cars182.png,V12LAF,1
Data/images/train/Cars183.png,BRIT0001,1
Data/images/train/Cars184.png,SWIFT,1
Data/images/train/Cars185.png,"ZBO64,MF9000",0
Data/images/train/Cars186.png,26SPF4,1
Data/images/train/Cars187.png,ALR486,1
Data/images/train/Cars188.png,,0
Data/images/train/Cars189.png,CH01AN0001,1
Data/images/train/Cars19.png,AFR2011,1
Data/images/train/Cars190.png,KL54A2670,1
Data/images/train/Cars191.png,KA03AB3380,1
Data/images/train/Cars192.png,E4GLE,1
Data/images/train/Cars193.png,889VSM,1
Data/images/train/Cars194.png,TN21BZ0768,1
Data/images/train/Cars195.png,,0
Data/images/train/Cars196.png,KA021,1
Data/images/train/Cars197.png,LR33TEE,1
Data/images/train/Cars198.png,MH01AV8866,1
Data/images/train/Cars199.png,MH01AE8017,1
Data/images/train/Cars2.png,PRENUP,1
Data/images/train/Cars20.png,,0
Data/images/train/Cars200.png,KA03AB3380,1
Data/images/train/Cars201.png,LR33TEE,1
Data/images/train/Cars202.png,KWID,1
Data/images/train/Cars203.png,CZ17KOD,1
Data/images/train/Cars204.png,NBY0ND,1
Data/images/train/Cars205.png,NOTACOP,1
Data/images/train/Cars206.png,HR26BU0380,1
Data/images/train/Cars207.png,K817GR,1
Data/images/train/Cars208.png,V8,1
Data/images/train/Cars209.png,,0
Data/images/train/Cars21.png,1RQ,1
Data/images/train/Cars210.png,MH01AE8017,1
Data/images/train/Cars211.png,F65022,1
Data/images/train/Cars212.png,KL65H4383,1
Data/images/train/Cars213.png,"DID, 2",0
Data/images/train/Cars214.png,,0
Data/images/train/Cars215.png,,0
Data/images/train/Cars216.png,OPECLOL,1
Data/images/train/Cars217.png,AFR2011,1
Data/images/train/Cars218.png,2525,1
Data/images/train/Cars219.png,KA03MG2784,1
Data/images/train/Cars22.png,YAMRAJ,1
Data/images/train/Cars220.png,P055585,1
Data/images/train/Cars221.png,,0
Data/images/train/Cars222.png,26SPF4,1
Data/images/train/Cars223.png,"VHA634,VHB431,VHA800",2
Data/images/train/Cars224.png,,0
Data/images/train/Cars225.png,JA62UAR,1
Data/images/train/Cars226.png,TN19S4523,1
Data/images/train/Cars227.png,MCB025,1
Data/images/train/Cars228.png,"R3, R3",2
Data/images/train/Cars229.png,,0
Data/images/train/Cars23.png,9214,1
Data/images/train/Cars230.png,LR33TEE,1
Data/images/train/Cars231.png,GB18TCE,1
Data/images/train/Cars232.png,D13,1
Data/images/train/Cars233.png,UP16TC1366,1
Data/images/train/Cars234.png,IM4U555,1
Data/images/train/Cars235.png,GJ03JL0126,1
Data/images/train/Cars236.png,,0
Data/images/train/Cars237.png,,0
Data/images/train/Cars238.png,AD00008,1
Data/images/train/Cars239.png,15LK10898,1
Data/images/train/Cars24.png,HR26BC5514,1
Data/images/train/Cars240.png,1CDAF,1
Data/images/train/Cars241.png,3SAM123,1
Data/images/train/Cars242.png,PRENUP,1
Data/images/train/Cars243.png,KA03MG2784,1
Data/images/train/Cars244.png,2180127,1
Data/images/train/Cars245.png,HR26BR9044,1
Data/images/train/Cars246.png,TS009TC268,1
Data/images/train/Cars247.png,"TN37C5,2765",0
Data/images/train/Cars248.png,MH12DE1433,1
Data/images/train/Cars249.png,KA42N0852,1
Data/images/train/Cars25.png,BYHM136,1
Data/images/train/Cars250.png,PGMN112,1
Data/images/train/Cars251.png,H982FKL,1
Data/images/train/Cars252.png,DAN54P,1
Data/images/train/Cars253.png,,0
Data/images/train/Cars254.png,G0T2P00,1
Data/images/train/Cars255.png,MH20EJ0364,1
Data/images/train/Cars256.png,YD63LB,1
Data/images/train/Cars257.png,OKLA,1
Data/images/train/Cars258.png,KA01AC5957,1
Data/images/train/Cars259.png,MH20EE7598,1
Data/images/train/Cars26.png,"M17108,FV1232",2
Data/images/train/Cars260.png,IM4U5333,1
Data/images/train/Cars261.png,TS08ER1643,1
Data/images/train/Cars262.png,1CYAH8N,1
Data/images/train/Cars263.png,MH02CB4545,1
Data/images/train/Cars264.png,FAMU2010,1
Data/images/train/Cars265.png,M771276,1
Data/images/train/Cars266.png,,0
Data/images/train/Cars267.png,7222,0
Data/images/train/Cars268.png,,0
Data/images/train/Cars269.png,,0
Data/images/train/Cars27.png,DZ17YXR,1
Data/images/train/Cars270.png,P018299,1
Data/images/train/Cars271.png,YESBOSS,1
Data/images/train/Cars272.png,RX61GDU,1
Data/images/train/Cars273.png,BRIT0001,1
Data/images/train/Cars274.png,MANISA,1
Data/images/train/Cars275.png,BATMAN,1
Data/images/train/Cars276.png,CZ17KOD,1
Data/images/train/Cars277.png,,0
Data/images/train/Cars278.png,,0
Data/images/train/Cars279.png,MMN306,1
Data/images/train/Cars28.png,AP11AM091,1
Data/images/train/Cars280.png,,0
Data/images/train/Cars281.png,MH01DB0001,1
Data/images/train/Cars282.png,6861136,1
Data/images/train/Cars283.png,,0
Data/images/train/Cars284.png,"KA, 09, MA, 2662",0
Data/images/train/Cars285.png,HR26BR9044,1
Data/images/train/Cars286.png,MIDLYPH,1
Data/images/train/Cars287.png,DL7CN5617,1
Data/images/train/Cars288.png,BATMAN,1
Data/images/train/Cars289.png,S32H,1
Data/images/train/Cars29.png,9214,1
Data/images/train/Cars290.png,SOV8199,1
Data/images/train/Cars291.png,KA02A6579,1
Data/images/train/Cars292.png,AK0188,1
Data/images/train/Cars293.png,GB18TCE,1
Data/images/train/Cars294.png,01CC1A0001,1
Data/images/train/Cars295.png,"6431, 8544",2
Data/images/train/Cars296.png,145,1
Data/images/train/Cars297.png,IM4U555,1
Data/images/train/Cars298.png,LAMB0,1
Data/images/train/Cars299.png,SDN7484U,1
Data/images/train/Cars3.png,DZ17YXR,1
Data/images/train/Cars30.png,"SBV1966S, JPK6546, SBA1234A, FBF1234A",2
Data/images/train/Cars300.png,"M17108,FV1232",2
Data/images/train/Cars301.png,G526JHD,1
Data/images/train/Cars302.png,KL01CC50,1
Data/images/train/Cars303.png,KL54A2670,1
Data/images/train/Cars304.png,HNYCHIL3,1
Data/images/train/Cars305.png,"SGQ51, SGQ51JU",2
Data/images/train/Cars306.png,LAWYER,1
Data/images/train/Cars307.png,M906090K,1
Data/images/train/Cars308.png,HR26BC5514,1
Data/images/train/Cars309.png,EAB0001,1
Data/images/train/Cars31.png,YD63LB,1
Data/images/train/Cars310.png,4GETOIL,1
Data/images/train/Cars311.png,TN21AT8349,1
Data/images/train/Cars312.png,PU18BES,1
Data/images/train/Cars313.png,NBEYOND,1
Data/images/train/Cars314.png,6PIV728,1
Data/images/train/Cars315.png,J98257,1
Data/images/train/Cars316.png,"MH02BB2,MH02JA,2",2
Data/images/train/Cars317.png,HR26BC5514,1
Data/images/train/Cars318.png,ALR486,1
Data/images/train/Cars319.png,FALLY0U,1
Data/images/train/Cars32.png,MANISA,1
Data/images/train/Cars320.png,"KA, 09, MA, 2662",0
Data/images/train/Cars321.png,LOLOIL,1
Data/images/train/Cars322.png,700V,1
Data/images/train/Cars323.png,TN99F2378,1
Data/images/train/Cars324.png,V12LAF,1
Data/images/train/Cars325.png,,0
Data/images/train/Cars326.png,DL8CX4850,1
Data/images/train/Cars327.png,PGMN112,1
Data/images/train/Cars328.png,IM4U555,1
Data/images/train/Cars329.png,16M,1
Data/images/train/Cars33.png,OX65AWD,1
Data/images/train/Cars330.png,"MG6800,MR6751",2
Data/images/train/Cars331.png,HR26CB1900,1
Data/images/train/Cars332.png,DZ17YXR,1
Data/images/train/Cars333.png,MH20EJ0364,1
Data/images/train/Cars334.png,E8OLA,1
Data/images/train/Cars335.png,NOTACOP,1
Data/images/train/Cars336.png,DL8CX4850,1
Data/images/train/Cars337.png,,0
Data/images/train/Cars338.png,,0
Data/images/train/Cars339.png,007PLATECOM,1
Data/images/train/Cars34.png,DL7CN5617,1
Data/images/train/Cars340.png,VX54FVL,1
Data/images/train/Cars341.png,TS009TC268,1
Data/images/train/Cars342.png,MANISA,1
Data/images/train/Cars343.png,SKIPGAS,1
Data/images/train/Cars344.png,G00GLE,1
Data/images/train/Cars345.png,OMGMOOV,1
Data/images/train/Cars346.png,KA03AB3380,1
Data/images/train/Cars347.png,,0
Data/images/train/Cars348.png,EAB0001,1
Data/images/train/Cars349.png,PY56BXU,1
Data/images/train/Cars35.png,AK0188,1
Data/images/train/Cars350.png,B10612,1
Data/images/train/Cars351.png,CB7R605,1
Data/images/train/Cars352.png,,0
Data/images/train/Cars353.png,KA03AB3380,1
Data/images/train/Cars354.png,,0
Data/images/train/Cars355.png,BKTP665,1
Data/images/train/Cars356.png,BSMART2,1
Data/images/train/Cars357.png,AK0188,1
Data/images/train/Cars358.png,"PZ62FDX,PZ62FDZ",2
Data/images/train/Cars359.png,,0
Data/images/train/Cars36.png,MIDLYPH,1
Data/images/train/Cars360.png,DX103,1
Data/images/train/Cars361.png,MPEACHW,1
Data/images/train/Cars362.png,,0
Data/images/train/Cars363.png,WIW123,1
Data/images/train/Cars364.png,DL3CBD5092,1
Data/images/train/Cars365.png,TN21BZ0768,1
Data/images/train/Cars366.png,MH20BQ20,1
Data/images/train/Cars367.png,G00GLE,1
Data/images/train/Cars368.png,D13,1
Data/images/train/Cars369.png,15LK10898,1
Data/images/train/Cars37.png,FAST,1
Data/images/train/Cars370.png,CH01AN0001,1
Data/images/train/Cars371.png,,0
Data/images/train/Cars372.png,HR26CE1485,1
